Record ID,Record Type,Campaign ID,Campaign,Campaign Daily Budget,Portfolio ID,Campaign Start Date,Campaign End Date,Campaign Targeting Type,Ad Group,Max Bid,Keyword or Product Targeting,Product Targeting ID,Match Type,SKU,Campaign Status,Ad Group Status,Status,Impressions,Clicks,Spend,Orders,Total units,Sales,ACoS,Bidding strategy,Placement Type,Increase bids by placement
,Campaing,,PH 800 | futternapf unterlage,10,,10.03.2022,,manual,,,,,,,enabled,,,,,,,,,,,,
,ad group,,PH 800 | futternapf unterlage,,,,,,PH futternapf unterlage,0.79,,,,,,enabled,,,,,,,,,,,
,ad,,PH 800 | futternapf unterlage,,,,,,PH futternapf unterlage,,,,,FOL-6714-B08R6CY2M9,,,enabled,,,,,,,,,,
,ad,,PH 800 | futternapf unterlage,,,,,,PH futternapf unterlage,,,,,FOL-6188-B08BJ9Y7TB,,,enabled,,,,,,,,,,
,keyword,,PH 800 | futternapf unterlage,,,,,,PH futternapf unterlage,0.79,futternapf unterlage,,phrase,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Campaing,,PH 800 | futterplatz hund,10,,10.03.2022,,manual,,,,,,,enabled,,,,,,,,,,,,
,ad group,,PH 800 | futterplatz hund,,,,,,PH futterplatz hund,0.79,,,,,,enabled,,,,,,,,,,,
,ad,,PH 800 | futterplatz hund,,,,,,PH futterplatz hund,,,,,FOL-6714-B08R6CY2M9,,,enabled,,,,,,,,,,
,ad,,PH 800 | futterplatz hund,,,,,,PH futterplatz hund,,,,,FOL-6188-B08BJ9Y7TB,,,enabled,,,,,,,,,,
,keyword,,PH 800 | futterplatz hund,,,,,,PH futterplatz hund,0.79,futterplatz hund,,phrase,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Campaing,,PH 800 | futterstation hund silikon,10,,10.03.2022,,manual,,,,,,,enabled,,,,,,,,,,,,
,ad group,,PH 800 | futterstation hund silikon,,,,,,PH futterstation hund silikon,0.79,,,,,,enabled,,,,,,,,,,,
,ad,,PH 800 | futterstation hund silikon,,,,,,PH futterstation hund silikon,,,,,FOL-6714-B08R6CY2M9,,,enabled,,,,,,,,,,
,ad,,PH 800 | futterstation hund silikon,,,,,,PH futterstation hund silikon,,,,,FOL-6188-B08BJ9Y7TB,,,enabled,,,,,,,,,,
,keyword,,PH 800 | futterstation hund silikon,,,,,,PH futterstation hund silikon,0.79,futterstation hund silikon,,phrase,,,,,,,,,,,,,,
